DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition,Points,Status,Year,RoundNumber,EventName,QualifyingPosition,QDelta
77,V BOTTAS,BOT,Mercedes,1.0,1.0,25.0,Finished,2020,1,Austrian Grand Prix,1.0,0.0
16,C LECLERC,LEC,Ferrari,2.0,7.0,18.0,Finished,2020,1,Austrian Grand Prix,7.0,0.0156341854811802
4,L NORRIS,NOR,McLaren,3.0,3.0,16.0,Finished,2020,1,Austrian Grand Prix,4.0,0.0109153307170434
44,L HAMILTON,HAM,Mercedes,4.0,5.0,12.0,Finished,2020,1,Austrian Grand Prix,2.0,0.0001906607985509
55,C SAINZ,SAI,McLaren,5.0,8.0,10.0,Finished,2020,1,Austrian Grand Prix,8.0,0.016396828675384
11,S PEREZ,PER,Racing Point,6.0,6.0,8.0,Finished,2020,1,Austrian Grand Prix,6.0,0.0146332162887875
10,P GASLY,GAS,AlphaTauri,7.0,12.0,6.0,Finished,2020,1,Austrian Grand Prix,12.0,0.021703554235053
31,E OCON,OCO,Renault,8.0,14.0,4.0,Finished,2020,1,Austrian Grand Prix,14.0,0.0270738333942388
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,9.0,18.0,2.0,Finished,2020,1,Austrian Grand Prix,18.0,0.0355264621299988
5,S VETTEL,VET,Ferrari,10.0,11.0,1.0,Finished,2020,1,Austrian Grand Prix,11.0,0.0201306026470074
6,N LATIFI,LAT,Williams,11.0,20.0,0.0,Finished,2020,1,Austrian Grand Prix,20.0,0.0447735108597213
26,D KVYAT,KVY,AlphaTauri,12.0,13.0,0.0,Suspension,2020,1,Austrian Grand Prix,13.0,0.0237054926198382
23,A ALBON,ALB,Red Bull Racing,13.0,4.0,0.0,Electronics,2020,1,Austrian Grand Prix,5.0,0.0128219387025533
7,K RAIKKONEN,RAI,Alfa Romeo Racing,14.0,19.0,0.0,Wheel,2020,1,Austrian Grand Prix,19.0,0.0363049937240821
63,G RUSSELL,RUS,Williams,15.0,17.0,0.0,Fuel pressure,2020,1,Austrian Grand Prix,17.0,0.0353993549309649
8,R GROSJEAN,GRO,Haas F1 Team,16.0,15.0,0.0,Brakes,2020,1,Austrian Grand Prix,15.0,0.0278364765884428
20,K MAGNUSSEN,MAG,Haas F1 Team,17.0,16.0,0.0,Brakes,2020,1,Austrian Grand Prix,16.0,0.0353516897313271
18,L STROLL,STR,Racing Point,18.0,9.0,0.0,Engine,2020,1,Austrian Grand Prix,9.0,0.0161426142773161
3,D RICCIARDO,RIC,Renault,19.0,10.0,0.0,Overheating,2020,1,Austrian Grand Prix,10.0,0.0172230254691049
33,M VERSTAPPEN,VER,Red Bull Racing,20.0,2.0,0.0,Electronics,2020,1,Austrian Grand Prix,3.0,0.0085479591350354
44,L HAMILTON,HAM,Mercedes,1.0,1.0,25.0,Finished,2020,2,Styrian Grand Prix,1.0,0.0
77,V BOTTAS,BOT,Mercedes,2.0,4.0,18.0,Finished,2020,2,Styrian Grand Prix,4.0,0.0106906521040795
33,M VERSTAPPEN,VER,Red Bull Racing,3.0,2.0,15.0,Finished,2020,2,Styrian Grand Prix,2.0,0.0014519755862511
23,A ALBON,ALB,Red Bull Racing,4.0,6.0,12.0,Finished,2020,2,Styrian Grand Prix,7.0,0.0152778670093156
4,L NORRIS,NOR,McLaren,5.0,9.0,10.0,Finished,2020,2,Styrian Grand Prix,6.0,0.0080051397365883
11,S PEREZ,PER,Racing Point,6.0,17.0,8.0,Finished,2020,2,Styrian Grand Prix,17.0,0.0485962094442659
18,L STROLL,STR,Racing Point,7.0,12.0,6.0,Finished,2020,2,Styrian Grand Prix,13.0,0.0233858014776741
3,D RICCIARDO,RIC,Renault,8.0,8.0,4.0,Finished,2020,2,Styrian Grand Prix,9.0,0.0180404754256343
55,C SAINZ,SAI,McLaren,9.0,3.0,3.0,+1 Lap,2020,2,Styrian Grand Prix,3.0,0.0098297462255059
26,D KVYAT,KVY,AlphaTauri,10.0,13.0,1.0,+1 Lap,2020,2,Styrian Grand Prix,14.0,0.0243109540636041
7,K RAIKKONEN,RAI,Alfa Romeo Racing,11.0,16.0,0.0,+1 Lap,2020,2,Styrian Grand Prix,16.0,0.0425955669771923
20,K MAGNUSSEN,MAG,Haas F1 Team,12.0,15.0,0.0,+1 Lap,2020,2,Styrian Grand Prix,15.0,0.0306585287504014
8,R GROSJEAN,GRO,Haas F1 Team,13.0,0.0,0.0,+1 Lap,2020,2,Styrian Grand Prix,20.0,
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,14.0,19.0,0.0,+1 Lap,2020,2,Styrian Grand Prix,19.0,0.0514744619338258
10,P GASLY,GAS,AlphaTauri,15.0,7.0,0.0,+1 Lap,2020,2,Styrian Grand Prix,8.0,0.0118085448120783
63,G RUSSELL,RUS,Williams,16.0,11.0,0.0,+2 Laps,2020,2,Styrian Grand Prix,12.0,0.0232701574044329
6,N LATIFI,LAT,Williams,17.0,18.0,0.0,+2 Laps,2020,2,Styrian Grand Prix,18.0,0.0505493093478958
31,E OCON,OCO,Renault,18.0,5.0,0.0,Overheating,2020,2,Styrian Grand Prix,5.0,0.0120655316415032
16,C LECLERC,LEC,Ferrari,19.0,14.0,0.0,Collision damage,2020,2,Styrian Grand Prix,11.0,0.0231673626726629
5,S VETTEL,VET,Ferrari,20.0,10.0,0.0,Collision damage,2020,2,Styrian Grand Prix,10.0,0.0221008673305492
44,L HAMILTON,HAM,Mercedes,1.0,1.0,26.0,Finished,2020,3,Hungarian Grand Prix,1.0,0.0
33,M VERSTAPPEN,VER,Red Bull Racing,2.0,7.0,18.0,Finished,2020,3,Hungarian Grand Prix,7.0,0.0190885944967119
77,V BOTTAS,BOT,Mercedes,3.0,2.0,15.0,Finished,2020,3,Hungarian Grand Prix,2.0,0.0014568328182226
18,L STROLL,STR,Racing Point,4.0,3.0,12.0,Finished,2020,3,Hungarian Grand Prix,3.0,0.012662191784552
23,A ALBON,ALB,Red Bull Racing,5.0,13.0,10.0,Finished,2020,3,Hungarian Grand Prix,13.0,0.0308794096423271
5,S VETTEL,VET,Ferrari,6.0,5.0,8.0,+1 Lap,2020,3,Hungarian Grand Prix,5.0,0.0180674499979576
11,S PEREZ,PER,Racing Point,7.0,4.0,6.0,+1 Lap,2020,3,Hungarian Grand Prix,4.0,0.0149495554617615
3,D RICCIARDO,RIC,Renault,8.0,11.0,4.0,+1 Lap,2020,3,Hungarian Grand Prix,11.0,0.030144185603224
55,C SAINZ,SAI,McLaren,9.0,9.0,2.0,+1 Lap,2020,3,Hungarian Grand Prix,9.0,0.0215121107737552
20,K MAGNUSSEN,MAG,Haas F1 Team,10.0,0.0,1.0,+1 Lap,2020,3,Hungarian Grand Prix,16.0,0.0368292782550682
16,C LECLERC,LEC,Ferrari,11.0,6.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,6.0,0.0186529061772433
26,D KVYAT,KVY,AlphaTauri,12.0,17.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,17.0,0.0375372717742044
4,L NORRIS,NOR,McLaren,13.0,8.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,8.0,0.0206815799147683
31,E OCON,OCO,Renault,14.0,14.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,14.0,0.0309338706822605
7,K RAIKKONEN,RAI,Alfa Romeo Racing,15.0,20.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,20.0,0.0431195283673941
8,R GROSJEAN,GRO,Haas F1 Team,16.0,0.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,18.0,0.0403011695508324
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,17.0,19.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,19.0,0.041649080289188
63,G RUSSELL,RUS,Williams,18.0,12.0,0.0,+1 Lap,2020,3,Hungarian Grand Prix,12.0,0.0291094258444863
6,N LATIFI,LAT,Williams,19.0,15.0,0.0,+5 Laps,2020,3,Hungarian Grand Prix,15.0,0.0361893610358489
10,P GASLY,GAS,AlphaTauri,20.0,10.0,0.0,Engine,2020,3,Hungarian Grand Prix,10.0,0.0280610508257654
44,L HAMILTON,HAM,Mercedes,1.0,1.0,25.0,Finished,2020,4,British Grand Prix,1.0,0.0
33,M VERSTAPPEN,VER,Red Bull Racing,2.0,3.0,19.0,Finished,2020,4,British Grand Prix,3.0,0.0121229374992586
16,C LECLERC,LEC,Ferrari,3.0,4.0,15.0,Finished,2020,4,British Grand Prix,4.0,0.0133328588543706
3,D RICCIARDO,RIC,Renault,4.0,8.0,12.0,Finished,2020,4,British Grand Prix,8.0,0.0202365277629503
4,L NORRIS,NOR,McLaren,5.0,5.0,10.0,Finished,2020,4,British Grand Prix,5.0,0.0175438596491228
31,E OCON,OCO,Renault,6.0,9.0,8.0,Finished,2020,4,British Grand Prix,9.0,0.0226089225768953
10,P GASLY,GAS,AlphaTauri,7.0,11.0,6.0,Finished,2020,4,British Grand Prix,11.0,0.0241984271022384
23,A ALBON,ALB,Red Bull Racing,8.0,12.0,4.0,Finished,2020,4,British Grand Prix,12.0,0.0265945458643227
18,L STROLL,STR,Racing Point,9.0,6.0,2.0,Finished,2020,4,British Grand Prix,6.0,0.0182199921710971
5,S VETTEL,VET,Ferrari,10.0,10.0,1.0,Finished,2020,4,British Grand Prix,10.0,0.0241509792059594
77,V BOTTAS,BOT,Mercedes,11.0,2.0,0.0,Finished,2020,4,British Grand Prix,2.0,0.0037127978838238
63,G RUSSELL,RUS,Williams,12.0,20.0,0.0,Finished,2020,4,British Grand Prix,15.0,0.0288127350153612
55,C SAINZ,SAI,McLaren,13.0,7.0,0.0,Finished,2020,4,British Grand Prix,7.0,0.0197146009038825
